iter	Passed	Remaining
0	0	93
1	1	85
2	2	79
3	3	76
4	3	74
5	4	73
6	5	73
7	6	74
8	7	75
9	8	73
10	8	71
11	9	70
12	10	69
13	11	68
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	19	60
24	20	60
25	22	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	31	52
38	32	51
39	33	50
40	34	49
41	35	48
42	36	47
43	37	47
44	37	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	41
52	44	39
53	45	39
54	46	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	52	33
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	75	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
